user_id,item_id,domain,L2_tier,correct,P_bkt_L2,P_bkt_L2_tier,P_bkt,P_irt,P_final,theta,a,b,c,question_text
u001,1,基本的なファイル管理,基本的なファイル管理:t1,1.0,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.9999758715770137,0.8806528986538827,9.245839325258427,1.1157133697391213,-0.2368739054181643,0.0507705067557368,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？
u001,2,基本的なファイル管理,基本的なファイル管理:t1,1.0,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.999894476431169,0.8806122010809604,9.245839325258427,1.0057960320418209,0.569328955307123,0.3492399940430926,ファイルの詳細情報付き一覧を表示する ls のオプションとして正しいものはどれですか？
u001,3,基本的なファイル管理,基本的なファイル管理:t1,1.0,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.9999630691619708,0.8806464974463613,9.245839325258427,1.0489036064732409,-0.4356010275478446,0.0502220425093067,現在の作業ディレクトリの絶対パスを表示するコマンドを一つ書いてください
u001,4,基本的なファイル管理,基本的なファイル管理:t1,1.0,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.9999792096806304,0.8806545677056911,9.245839325258427,1.055009503605785,-0.9239589656755248,0.0504502486357067,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？
u001,5,基本的なファイル管理,基本的なファイル管理:t1,,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.9995722711879139,0.8804510984593328,9.245839325258427,0.8453604877952278,0.5788187039701258,0.3492351481254843,dir1 とその中の dir2 を一度に作成したいときに最も適切なコマンドはどれですか？
u001,6,基本的なファイル管理,基本的なファイル管理:t2,,0.7665617660628137,0.7149150440416675,0.7407384050522405,0.9999091911490376,0.8703237981006391,9.245839325258427,1.0050849360210108,0.4137367163831822,0.3492312765060827,ディレクトリ A を中身ごと確認無しに削除したいときに最も適切なコマンドはどれですか？
u001,7,基本的なファイル管理,基本的なファイル管理:t2,,0.7665617660628137,0.7149150440416675,0.7407384050522405,0.999985607426839,0.8703620062395397,9.245839325258427,1.1721158614566645,-0.2206495301235297,0.051583305320572,rm コマンドで削除前に確認しながら対話的に削除したいときに付けるオプションはどれですか？
u001,8,基本的なファイル管理,基本的なファイル管理:t1,1.0,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.9999614072341358,0.8806456664824438,9.245839325258427,1.0883501808472968,0.0972796493785452,0.1858101692324761,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？
u001,9,基本的なファイル管理,基本的なファイル管理:t2,1.0,0.7665617660628137,0.7149150440416675,0.7407384050522405,0.999933005843802,0.8703357054480212,9.245839325258427,1.0265169437412776,0.294419589895912,0.3442783935973829,ディレクトリ A をタイムスタンプと権限を保ったままディレクトリ B にコピーしたいときに最も適切なコマンドはどれですか？
u001,10,基本的なファイル管理,基本的なファイル管理:t1,1.0,0.7665617660628137,0.7560980853986898,0.7613299257307518,0.9998871339411923,0.880608529835972,9.245839325258427,0.980379322279792,0.4130051453041272,0.3492354160101678,ディレクトリ A の中の file.txt をディレクトリ B に移動するコマンドとして正しいものはどれですか？
