user_id,domain,theta
u001,テキスト処理,1.4150054287744758
u002,テキスト処理,-1.7183525493887901
u003,テキスト処理,-0.7902390530500398
u004,テキスト処理,-0.31450769459418576
u005,テキスト処理,-0.8202066877246413
u006,テキスト処理,1.0454203074819823
u007,テキスト処理,-0.04112309595421223
u008,テキスト処理,1.5406516697662749
u009,テキスト処理,-1.1144487427140974
u010,テキスト処理,-0.13438482184474937
u011,テキスト処理,-0.5232906117765688
u012,テキスト処理,-0.14235709262347834
u013,テキスト処理,-1.133834703384557
u014,テキスト処理,-2.1268606516570423
u015,テキスト処理,0.5346813041186907
u016,テキスト処理,-0.8113524909598335
u017,テキスト処理,0.2827429749246892
u018,テキスト処理,-1.2777907262578425
u019,テキスト処理,-0.5318456025031107
u020,テキスト処理,-0.9762919412502464
u021,テキスト処理,-1.2849315231582978
u022,テキスト処理,0.2170626445474087
u023,テキスト処理,-0.5345840547261494
u024,テキスト処理,0.1129978954082759
u025,テキスト処理,1.5765363810920197
u026,テキスト処理,0.12229433564589984
u027,テキスト処理,-0.1107697651418098
u028,テキスト処理,1.2042596599003117
u029,テキスト処理,-0.028533644148421074
u030,テキスト処理,0.8043419401018121
u031,テキスト処理,0.4430656748733076
u032,テキスト処理,1.0930340500463447
u033,テキスト処理,-0.597333497003521
u034,テキスト処理,-1.1390326861319366
u035,テキスト処理,1.2989475311789935
u036,テキスト処理,1.372723980056054
u037,テキスト処理,0.24749655618048205
u038,テキスト処理,0.2527841734999078
u039,テキスト処理,0.7018241288529334
u040,テキスト処理,1.81938608064021
u041,テキスト処理,1.9548793993815403
u042,テキスト処理,-1.5546120693769963
u043,テキスト処理,2.080482998072683
u044,テキスト処理,1.5127822225819605
u045,テキスト処理,0.5093941899611412
u046,テキスト処理,-0.05709739206443762
u047,テキスト処理,0.6965401015305231
u048,テキスト処理,1.786064608805378
u049,テキスト処理,0.24943217047268257
u050,テキスト処理,-0.4114730370593816
u001,ファイルの操作,-0.6465441640419782
u002,ファイルの操作,0.039432379658574976
u003,ファイルの操作,0.16130501941052236
u004,ファイルの操作,-0.40096601352725947
u005,ファイルの操作,0.20785188940518565
u006,ファイルの操作,1.8406076212077307
u007,ファイルの操作,0.8487058048330473
u008,ファイルの操作,-1.459328315141619
u009,ファイルの操作,-1.49853321550393
u010,ファイルの操作,0.47668030862434907
u011,ファイルの操作,-0.8926746117765397
u012,ファイルの操作,-1.0184652762792101
u013,ファイルの操作,-0.43925193842018545
u014,ファイルの操作,-0.17248837430547376
u015,ファイルの操作,0.5291590985555267
u016,ファイルの操作,-1.2805493660000777
u017,ファイルの操作,-1.5492567007694789
u018,ファイルの操作,-0.879746817167855
u019,ファイルの操作,0.326082764702798
u020,ファイルの操作,-0.7905330218939219
u021,ファイルの操作,-0.09680446938569773
u022,ファイルの操作,1.0671213747076016
u023,ファイルの操作,0.1827703160182855
u024,ファイルの操作,0.8909496869959975
u025,ファイルの操作,-1.8782625408469646
u026,ファイルの操作,-1.6794700896096764
u027,ファイルの操作,2.364260998941899
u028,ファイルの操作,-0.18671541901036393
u029,ファイルの操作,1.725568446033097
u030,ファイルの操作,-2.683370168859742
u031,ファイルの操作,0.37176508230503535
u032,ファイルの操作,0.329136159496552
u033,ファイルの操作,0.6411781150780613
u034,ファイルの操作,-0.9517071520093272
u035,ファイルの操作,-0.29038321162541275
u036,ファイルの操作,-0.8015494450014139
u037,ファイルの操作,-0.9512615944059601
u038,ファイルの操作,-0.07018326601991458
u039,ファイルの操作,0.32232634208737543
u040,ファイルの操作,-0.09580552077990515
u041,ファイルの操作,0.8661175240845176
u042,ファイルの操作,0.21165961221384225
u043,ファイルの操作,0.5680584230671997
u044,ファイルの操作,-0.007720197895089591
u045,ファイルの操作,0.13343599378445004
u046,ファイルの操作,-0.8450424694341657
u047,ファイルの操作,0.13759809240883092
u048,ファイルの操作,-1.1140935663958536
u049,ファイルの操作,1.395061012578755
u050,ファイルの操作,0.5011641007877217
u001,標準入出力操作,-0.38008656600494817
u002,標準入出力操作,-0.051932038802887694
u003,標準入出力操作,0.05580980165174983
u004,標準入出力操作,-0.1662087595365149
u005,標準入出力操作,-0.9025754266501913
u006,標準入出力操作,-0.4608357918266533
u007,標準入出力操作,0.5216364440436301
u008,標準入出力操作,-1.5850996755864946
u009,標準入出力操作,-2.749192804005271
u010,標準入出力操作,1.9907449370977157
u011,標準入出力操作,-2.1080733180568387
u012,標準入出力操作,-0.04427943764905545
u013,標準入出力操作,-1.5185411010818226
u014,標準入出力操作,-0.5963546299769517
u015,標準入出力操作,-1.3851519953277425
u016,標準入出力操作,-0.14891876589068054
u017,標準入出力操作,-0.13417099664553392
u018,標準入出力操作,-0.44158083037410495
u019,標準入出力操作,-0.5185474834117035
u020,標準入出力操作,-2.6494054713076856
u021,標準入出力操作,-0.053671836328596866
u022,標準入出力操作,-0.48538756611989514
u023,標準入出力操作,-0.014840402774337257
u024,標準入出力操作,0.5015770040033937
u025,標準入出力操作,-0.07172235755168603
u026,標準入出力操作,2.1802095898085545
u027,標準入出力操作,0.30868638788694286
u028,標準入出力操作,0.6765108346369979
u029,標準入出力操作,2.6649651009052975
u030,標準入出力操作,-0.15758289023343272
u031,標準入出力操作,1.2774233533426484
u032,標準入出力操作,-0.20352741618290973
u033,標準入出力操作,-0.793339080976355
u034,標準入出力操作,-1.1979276485081451
u035,標準入出力操作,1.4872846180928945
u036,標準入出力操作,-0.8328848608453786
u037,標準入出力操作,0.1252253823576545
u038,標準入出力操作,-0.5968357213165489
u039,標準入出力操作,-0.3572173730195981
u040,標準入出力操作,-0.4810500152430144
u041,標準入出力操作,-1.2231778827409816
u042,標準入出力操作,-1.8375266688622627
u043,標準入出力操作,-0.5866015573762877
u044,標準入出力操作,0.9089150962907125
u045,標準入出力操作,1.0996288896060775
u046,標準入出力操作,0.9339545453308611
u047,標準入出力操作,-1.3938117428089034
u048,標準入出力操作,-0.9612447017563968
u049,標準入出力操作,0.4555377877613547
u050,標準入出力操作,0.33838539048722255
