timestamp,user_id,item_id,domain,correct
2026-02-18T04:48:46.458949+00:00,user000,1,基本的なファイル管理,1
2026-02-18T04:49:45.978527+00:00,user000,3,基本的なファイル管理,1
2026-02-18T04:50:31.883450+00:00,user000,4,基本的なファイル管理,0
2026-02-18T04:53:14.932799+00:00,user000,1,基本的なファイル管理,1
2026-02-18T05:00:44.730602+00:00,user000,2,基本的なファイル管理,1
2026-02-18T05:00:57.847850+00:00,user000,7,基本的なファイル管理,1
2026-02-18T05:01:23.579537+00:00,user000,9,基本的なファイル管理,0
2026-02-18T05:13:03.774493+00:00,user000,5,基本的なファイル管理,1
2026-02-18T05:13:42.416456+00:00,user000,6,基本的なファイル管理,1
2026-02-18T05:16:46.441515+00:00,user001,1,基本的なファイル管理,1
2026-02-18T05:17:25.615020+00:00,user001,20,所有者とパーミッション,0
2026-02-18T05:26:31.093979+00:00,user_000,1,基本的なファイル管理,1
2026-02-18T05:27:36.672943+00:00,user_000,20,所有者とパーミッション,0
2026-02-18T07:06:32.447524+00:00,user_000,4,基本的なファイル管理,0
2026-02-18T07:09:16.877463+00:00,user_000,2,基本的なファイル管理,1
2026-02-18T07:14:10.209111+00:00,user_000,3,基本的なファイル管理,1
2026-02-18T07:17:37.595368+00:00,user_000,6,基本的なファイル管理,1
2026-02-18T07:18:11.698078+00:00,user_000,5,基本的なファイル管理,1
2026-02-18T07:19:07.814425+00:00,user_000,7,基本的なファイル管理,1
2026-02-18T07:19:31.302028+00:00,user_000,8,基本的なファイル管理,0
2026-02-18T07:24:24.038128+00:00,user_000,9,基本的なファイル管理,1
2026-02-18T07:24:53.668860+00:00,user_000,11,基本的なファイル管理,1
2026-02-18T07:25:37.611526+00:00,user_000,18,所有者とパーミッション,1
2026-02-18T07:42:44.613304+00:00,user_000,19,所有者とパーミッション,0
2026-02-18T07:43:27.394722+00:00,user_000,23,所有者とパーミッション,0
2026-02-18T07:43:54.906792+00:00,user_000,22,所有者とパーミッション,0
2026-02-18T07:44:16.103721+00:00,user_000,10,基本的なファイル管理,1
2026-02-18T07:44:42.169845+00:00,user_000,12,基本的なファイル管理,1
2026-02-18T07:47:54.996663+00:00,user_000,13,基本的なファイル管理,0
2026-02-18T08:00:11.206054+00:00,user_000,14,基本的なファイル管理,1
2026-02-18T08:02:21.501686+00:00,user_000,15,基本的なファイル管理,0
2026-02-18T08:03:01.104248+00:00,user_000,24,所有者とパーミッション,1
2026-02-18T08:16:36.428365+00:00,user_000,21,所有者とパーミッション,1
2026-02-18T08:16:55.097479+00:00,user_000,25,所有者とパーミッション,1
2026-02-18T09:59:57.226745+00:00,21-417,19,所有者とパーミッション,0
2026-02-18T10:01:06.124987+00:00,21-417,18,所有者とパーミッション,1
2026-02-18T10:02:41.363836+00:00,21-417,22,所有者とパーミッション,0
2026-02-18T10:05:30.137701+00:00,21-417,20,所有者とパーミッション,0
2026-02-18T10:06:34.412529+00:00,21-417,21,所有者とパーミッション,1
2026-02-19T02:47:03.292794+00:00,user_000,16,基本的なファイル管理,1
2026-02-19T02:47:15.791537+00:00,user_000,17,基本的なファイル管理,1
