order_id,user_id,skill_name,correct
0,u124,s22,0
1,u31,s13,0
2,u75,s42,1
3,u83,s49,1
4,u136,s31,1
5,u63,s30,1
6,u101,s20,0
7,u63,s19,0
8,u180,s18,0
9,u177,s35,0
10,u148,s23,0
11,u3,s15,0
12,u2,s45,0
13,u16,s22,0
14,u174,s3,0
15,u4,s47,0
16,u182,s6,0
17,u105,s26,1
18,u107,s4,0
19,u110,s26,0
20,u126,s0,0
21,u143,s0,0
22,u176,s48,0
23,u22,s30,1
24,u109,s5,0
25,u46,s17,1
26,u160,s32,0
27,u64,s14,0
28,u59,s32,0
29,u187,s42,0
30,u133,s27,0
31,u157,s40,0
32,u175,s22,0
33,u8,s39,0
34,u62,s0,0
35,u88,s43,1
36,u114,s47,0
37,u39,s18,0
38,u91,s32,0
39,u149,s28,0
40,u153,s5,0
41,u23,s42,1
42,u137,s48,0
43,u158,s34,0
44,u78,s2,0
45,u179,s47,0
46,u112,s10,0
47,u7,s25,1
48,u58,s41,0
49,u114,s1,0
50,u192,s48,0
51,u24,s49,1
52,u117,s6,0
53,u55,s0,0
54,u104,s30,0
55,u128,s25,0
56,u113,s30,0
57,u131,s43,0
58,u106,s40,0
59,u140,s19,1
60,u162,s39,0
61,u153,s38,0
62,u13,s28,1
63,u44,s45,0
64,u6,s14,0
65,u95,s34,0
66,u194,s27,0
67,u10,s9,0
68,u100,s4,0
69,u130,s28,0
70,u50,s0,0
71,u9,s24,1
72,u99,s13,0
73,u5,s2,1
74,u149,s9,1
75,u160,s31,0
76,u160,s34,0
77,u2,s8,0
78,u133,s1,0
79,u151,s5,1
80,u6,s24,0
81,u131,s3,1
82,u69,s9,1
83,u52,s39,0
84,u29,s34,0
85,u142,s1,1
86,u160,s27,0
87,u34,s25,0
88,u186,s47,0
89,u156,s18,0
90,u48,s2,1
91,u8,s23,1
92,u88,s41,0
93,u184,s20,0
94,u106,s38,1
95,u171,s8,0
96,u144,s36,0
97,u125,s37,1
98,u191,s15,0
99,u51,s34,0
100,u144,s13,0
101,u39,s18,1
102,u12,s0,0
103,u76,s17,0
104,u51,s5,0
105,u194,s25,0
106,u184,s15,0
107,u38,s36,0
108,u140,s14,0
109,u145,s35,0
110,u190,s44,1
111,u108,s38,0
112,u104,s13,1
113,u46,s11,0
114,u44,s10,0
115,u119,s3,0
116,u111,s10,0
117,u149,s1,0
118,u114,s46,0
119,u175,s12,0
120,u91,s35,0
121,u111,s19,0
122,u15,s15,0
123,u16,s15,0
124,u98,s30,0
125,u32,s32,0
126,u83,s42,0
127,u29,s49,1
128,u43,s43,0
129,u95,s18,0
130,u111,s13,0
131,u144,s6,0
132,u149,s1,0
133,u158,s3,0
134,u117,s34,0
135,u80,s19,0
136,u145,s16,0
137,u165,s34,0
138,u40,s8,0
139,u152,s27,1
140,u111,s15,0
141,u178,s26,0
142,u16,s31,1
143,u41,s25,0
144,u22,s4,0
145,u100,s3,0
146,u180,s42,0
147,u111,s17,0
148,u42,s42,0
149,u187,s22,1
150,u162,s5,0
151,u28,s11,0
152,u187,s49,0
153,u115,s42,0
154,u24,s43,0
155,u159,s3,0
156,u145,s26,0
157,u23,s18,0
158,u0,s0,1
159,u115,s23,0
160,u3,s9,0
161,u43,s12,0
162,u98,s26,0
163,u146,s9,0
164,u145,s6,0
165,u51,s40,0
166,u27,s13,0
167,u14,s25,1
168,u171,s36,0
169,u94,s22,0
170,u124,s2,0
171,u149,s24,0
172,u148,s35,0
173,u192,s31,0
174,u12,s7,0
175,u23,s11,0
176,u58,s26,0
177,u103,s1,0
178,u37,s18,0
179,u64,s48,1
180,u126,s2,0
181,u8,s40,0
182,u194,s34,0
183,u68,s16,0
184,u55,s27,0
185,u79,s41,1
186,u17,s36,0
187,u81,s29,0
188,u69,s11,0
189,u180,s43,0
190,u125,s22,0
191,u75,s19,0
192,u31,s43,0
193,u136,s0,0
194,u43,s48,0
195,u165,s6,0
196,u103,s12,0
197,u161,s29,0
198,u47,s31,0
199,u121,s2,0
200,u37,s11,0
201,u182,s38,0
202,u110,s11,0
203,u175,s24,1
204,u146,s39,0
205,u196,s49,1
206,u83,s24,0
207,u77,s36,0
208,u87,s14,0
209,u170,s13,0
210,u82,s4,0
211,u164,s41,0
212,u150,s3,0
213,u8,s27,0
214,u150,s33,1
215,u106,s20,0
216,u119,s12,0
217,u165,s3,0
218,u59,s17,0
219,u177,s13,0
220,u152,s10,0
221,u95,s4,0
222,u0,s9,0
223,u176,s31,0
224,u91,s48,0
225,u15,s13,0
226,u40,s15,0
227,u33,s17,0
228,u48,s0,0
229,u63,s15,0
230,u120,s20,0
231,u109,s17,0
232,u41,s19,0
233,u77,s22,0
234,u126,s17,0
235,u36,s8,0
236,u56,s20,1
237,u104,s22,0
238,u82,s22,1
239,u113,s18,0
240,u117,s49,0
241,u167,s24,0
242,u11,s48,0
243,u124,s45,0
244,u169,s47,0
245,u34,s14,0
246,u156,s19,0
247,u186,s8,1
248,u137,s0,0
249,u137,s20,0
250,u186,s19,0
251,u116,s18,0
252,u153,s45,0
253,u167,s42,1
254,u192,s6,0
255,u46,s30,0
256,u145,s30,0
257,u198,s8,0
258,u64,s33,0
259,u38,s36,0
260,u75,s34,0
261,u4,s23,1
262,u173,s28,0
263,u59,s4,1
264,u184,s22,1
265,u24,s19,0
266,u174,s17,0
267,u143,s22,1
268,u72,s15,1
269,u36,s0,1
270,u136,s20,0
271,u149,s49,1
272,u54,s11,0
273,u35,s15,0
274,u47,s4,0
275,u25,s1,0
276,u13,s30,0
277,u84,s30,0
278,u125,s0,0
279,u123,s9,1
280,u94,s32,0
281,u198,s32,0
282,u137,s34,1
283,u28,s29,0
284,u60,s32,0
285,u4,s31,0
286,u74,s2,0
287,u187,s42,0
288,u98,s5,0
289,u121,s46,0
290,u105,s1,0
291,u73,s40,0
292,u158,s24,1
293,u59,s17,0
294,u102,s18,0
295,u35,s2,0
296,u149,s25,0
297,u187,s18,0
298,u130,s24,1
299,u11,s19,1
300,u154,s8,0
301,u112,s45,1
302,u174,s5,0
303,u181,s30,0
304,u145,s7,0
305,u125,s10,0
306,u112,s12,0
307,u134,s2,1
308,u175,s12,1
309,u125,s4,0
310,u95,s48,0
311,u19,s17,0
312,u167,s2,0
313,u52,s29,0
314,u87,s20,0
315,u105,s16,1
316,u87,s44,0
317,u150,s30,0
318,u130,s16,0
319,u12,s22,0
320,u89,s26,0
321,u146,s49,0
322,u123,s18,0
323,u5,s40,0
324,u68,s28,0
325,u47,s16,0
326,u160,s8,0
327,u120,s35,0
328,u114,s5,0
329,u196,s4,0
330,u138,s31,0
331,u156,s49,0
332,u63,s14,0
333,u41,s31,1
334,u66,s35,0
335,u171,s48,0
336,u188,s6,1
337,u65,s3,0
338,u84,s4,0
339,u150,s24,0
340,u135,s27,0
341,u20,s47,0
342,u134,s36,0
343,u7,s26,0
344,u111,s29,0
345,u119,s47,0
346,u93,s31,0
347,u35,s25,0
348,u3,s26,0
349,u120,s2,0
350,u136,s44,1
351,u112,s30,0
352,u24,s48,0
353,u8,s18,0
354,u116,s2,0
355,u21,s8,0
356,u50,s5,0
357,u36,s28,0
358,u20,s35,0
359,u185,s8,0
360,u30,s3,0
361,u168,s14,0
362,u45,s14,0
363,u26,s30,0
364,u76,s30,0
365,u46,s6,0
366,u25,s20,0
367,u6,s37,1
368,u5,s32,0
369,u128,s26,0
370,u32,s7,0
371,u116,s1,0
372,u102,s27,0
373,u138,s28,0
374,u23,s40,0
375,u86,s37,0
376,u3,s27,1
377,u14,s8,0
378,u41,s16,0
379,u152,s30,0
380,u6,s48,0
381,u151,s47,0
382,u9,s25,0
383,u79,s28,0
384,u169,s3,0
385,u154,s8,0
386,u69,s29,0
387,u62,s8,0
388,u174,s2,0
389,u9,s9,0
390,u50,s8,0
391,u168,s30,0
392,u89,s5,0
393,u130,s27,0
394,u8,s49,0
395,u130,s20,0
396,u54,s45,0
397,u100,s42,0
398,u144,s45,0
399,u60,s40,0
400,u5,s5,0
401,u93,s37,0
402,u11,s7,0
403,u188,s45,0
404,u90,s8,0
405,u166,s10,0
406,u144,s40,0
407,u124,s48,1
408,u72,s29,0
409,u166,s4,0
410,u41,s17,0
411,u122,s22,0
412,u32,s3,1
413,u105,s9,0
414,u1,s35,0
415,u72,s28,0
416,u36,s38,0
417,u165,s25,0
418,u79,s12,0
419,u162,s1,0
420,u50,s17,0
421,u168,s11,0
422,u52,s1,0
423,u115,s7,0
424,u70,s4,0
425,u106,s0,0
426,u161,s38,0
427,u127,s34,0
428,u168,s14,0
429,u120,s10,0
430,u158,s42,0
431,u170,s29,0
432,u153,s24,0
433,u59,s18,0
434,u185,s33,0
435,u32,s8,1
436,u92,s30,0
437,u135,s13,0
438,u36,s30,0
439,u26,s8,1
440,u51,s19,0
441,u147,s41,0
442,u99,s42,0
443,u113,s14,0
444,u172,s12,0
445,u161,s11,1
446,u43,s25,0
447,u121,s20,0
448,u9,s14,0
449,u90,s19,1
450,u75,s32,1
451,u197,s23,0
452,u103,s19,0
453,u79,s18,0
454,u38,s18,0
455,u131,s24,1
456,u61,s24,0
457,u162,s14,0
458,u18,s17,1
459,u28,s22,1
460,u93,s16,0
461,u49,s22,0
462,u45,s42,0
463,u0,s43,0
464,u45,s4,0
465,u23,s27,0
466,u96,s47,0
467,u21,s49,0
468,u174,s2,0
469,u140,s35,0
470,u129,s2,0
471,u26,s4,0
472,u127,s34,0
473,u35,s29,0
474,u148,s22,0
475,u198,s43,0
476,u55,s22,1
477,u24,s30,0
478,u10,s39,0
479,u40,s36,1
480,u80,s28,1
481,u131,s22,0
482,u2,s26,0
483,u37,s49,0
484,u4,s20,1
485,u13,s14,0
486,u108,s14,0
487,u82,s48,0
488,u168,s6,0
489,u1,s25,1
