skill_field,skill_name,T,S,G,L0
L1,Linuxファイル操作,0.002360742918312257,0.39151877265734597,0.40921282297552997,0.4336117447493891
L2,テキスト処理,5.884234188311618e-05,0.26784486468179636,0.3777689635493691,0.4595121407039159
L2,ファイルの操作,0.005654260241437252,0.29872824452551017,0.3631408253125402,0.38086831703997875
L2,標準入出力操作,0.004795456571981376,0.3834985015521571,0.27468429976333825,0.561434032973536
L3,awk,0.054668229046303064,0.4952092089487667,0.03818084381177827,0.5593426913233887
L3,chmod,0.03761946434598169,0.23112844821600825,0.29697976718286423,0.5403973441618968
L3,chown,0.009893689374326844,0.4143088312929554,0.3627273170581446,0.25260929922001424
L3,cp,0.0403204317760074,0.3304338287695239,0.4326973465579057,0.6425348892039602
L3,cut,0.004347274113096542,0.20437586071986139,0.4492038563039219,0.5741729156010937
L3,file,0.013188276533584635,0.24784719634462163,0.22416787029254873,0.16536350714716233
L3,find,0.05748978962207307,0.33864917677194734,0.1778522496376296,0.4255379611558165
L3,grep,0.06479035168905681,0.24126618983652343,0.26556091098783136,0.4855993681046494
L3,gzip,0.009281994602205001,0.800361929078418,0.015691712881185173,0.8496090862860326
L3,head,0.007264244962755581,0.6414378312412338,0.011662855590696707,0.7136044884942075
L3,ln,0.1839743038600245,0.191667363134062,0.5185409726813457,0.38666563147892336
L3,ls,0.009621091951921328,0.0017472486922172278,0.45894117338682977,0.30491518563069353
L3,mkdir,0.08642263735945518,0.016636881644077128,0.4791549420600528,0.06837620548230221
L3,mv,0.01610335518852706,0.2267200146812683,0.4130675907670472,0.7338110874862661
L3,nl,9.382389576439288e-05,0.0036171941671618436,0.4851718551308811,0.44367150289296314
L3,paste,0.06939287476481286,0.24488634964636477,0.44980367820755196,0.3795282774089617
L3,rm,0.0032262451424798426,0.5942369180973789,0.03078712076795739,0.6822849161793753
L3,rmdir,0.00516956721241909,0.16658736697282608,0.35286653663520234,0.5802867669542366
L3,sed,0.027727600584916523,0.23736158640215355,0.19861828768391435,0.7203423788934958
L3,sort,0.012992594837936756,0.1406464294403387,0.4240085934559477,0.2755148008644318
L3,sort_uniq,0.0016688652617824276,0.41328723545513657,0.2952728258980281,0.396467151563902
L3,split,0.04769603166761794,0.1377818617155422,0.5947861498505493,0.3444602143478869
L3,tail,0.025932036979851726,0.620566658890166,0.0775830201290132,0.9054265830177011
L3,tar,0.05233655266981123,0.2523253381476428,0.21182778296248567,0.7495432054727902
L3,tee,0.006920280699616643,0.2533052996667384,0.3121235683671732,0.17532915764050055
L3,touch,0.13398056180504117,0.4285981127421213,0.23908561244793927,0.40657395424368553
L3,tr,0.02269771406720915,0.5097276332537193,0.06450823670836393,0.241261848912852
L3,uniq,4.612553215166267e-08,0.19866404063386414,0.14860141049370612,0.9372156224882734
L3,wc,0.061338639236610704,0.817801318094051,0.6702970860490777,0.05265981971347783
L3,xargs,0.026651013557963274,0.17974674074894376,0.37572228564500504,0.42238603802215047
L3,パイプ,0.06535246325793272,0.47216343855311566,0.21198208378469485,0.4482793693777236
L3,ヒアドキュメント,0.019750321530520292,0.0024041540381165892,0.43789673232177945,0.10561516555044909
L3,リダイレクト,0.0029024184010929184,0.43442999640112445,0.17914924039488475,0.5712347779324397
L3,標準入出力,0.002243691922664494,0.157556095617618,0.47299649505261643,0.6694847409193256
L3,正規表現,0.15782355680539867,0.2834764981038142,0.27910158287524856,0.3436649418793391
