timestamp,user_id,item_id,domain,correct
1763526884,68,3,eq,0
1763526890,68,4,eq,0
1763526895,68,4,eq,0
1763526924,68,2,frac,1
1763526935,68,1,frac,1
1763526941,68,3,eq,0
1763526942,68,3,eq,0
1763526943,68,3,eq,0
1763526947,68,1,frac,1
1763526949,68,4,eq,0
1763526954,68,4,eq,1
1763526956,68,3,eq,0
1763526958,68,4,eq,1
1763526961,68,4,eq,1
1763526962,68,4,eq,0
1763526964,68,3,eq,1
1763526965,68,3,eq,1
1763526967,68,3,eq,1
1763526969,68,2,frac,1
1763526971,68,1,frac,0
1763526972,68,2,frac,1
1763526973,68,1,frac,1
1763526974,68,1,frac,1
1763526979,68,3,eq,1
1763526980,68,3,eq,1
1763526981,68,3,eq,1
1765179838,58,4,eq,1
1765179841,58,4,eq,1
1765179841,58,2,frac,0
1765179841,58,2,frac,0
1765179842,58,1,frac,0
1765179842,58,1,frac,0
1765179842,58,2,frac,0
1765179842,58,1,frac,0
1765179842,58,1,frac,0
1765179843,58,2,frac,0
1765179843,58,1,frac,0
1765179843,58,1,frac,0
1765179843,58,4,eq,1
1765179843,58,2,frac,0
1765179850,58,1,frac,0
