user_id,skill_name,mastery
98,16,0.0821961135132669
182,5,0.0011300884610347
73,13,0.0410478067633543
33,16,0.0762218337320475
132,43,0.196107142742672
124,32,0.0001493614777323
53,18,0.0429552345559768
85,32,0.0005184024562694
176,24,0.9999920264518076
108,32,5.565809731113349e-05
161,10,0.0118629648066266
98,5,0.0008683681897576
108,8,0.0541765278023416
86,23,0.0042129484344155
143,3,0.1080277203289498
17,12,0.0456020988351785
46,13,0.0467555098931861
93,49,0.0087658296110085
8,32,5.56767563165546e-05
189,32,5.56767563165546e-05
81,33,0.0739548999171744
20,45,0.0015016700092967
108,10,0.0113985833674171
164,47,0.0385177717302394
50,0,0.0007467660985612
98,32,5.568070624305826e-05
169,6,0.0106067156817342
47,32,0.0005193140476278
57,32,5.58361648392298e-05
98,12,0.0519240303940887
187,46,0.0180608840205087
44,49,0.0098443426719569
116,12,0.057010181678277
122,12,0.0571081737912513
30,1,1.6811684452958412e-06
143,42,0.000962388793706
84,49,0.010339993330607
75,31,0.0484860410596409
31,49,0.0103352860741079
152,20,0.0002774387270927
103,1,1.378796997689972e-06
107,1,2.497127554732157e-06
181,24,0.0027518517033558
14,49,0.0098316366385479
42,36,0.0019109962426111
169,29,0.0262282791336277
10,3,0.1192364251268998
74,23,0.0049095527653467
123,3,0.125565077255567
178,49,0.0100819778512683
32,0,0.0009292935922054
70,49,0.0116967964627416
52,46,0.0239096631471814
150,3,0.1456628834992249
198,49,0.0201601857692769
98,49,0.0117818152806003
197,13,0.0608339058710724
115,49,0.011528444340104
154,34,9.151867832821826e-05
140,18,0.0551091745935212
198,4,0.0031274367826501
24,40,0.0048234836110283
73,29,0.0298108263897333
102,34,5.744517922160142e-05
149,24,0.0049952033058719
171,24,0.0013893993853574
138,46,0.0239915157632276
120,49,0.0135111198053854
52,40,0.004974998494493
96,46,0.023946509839992
166,28,0.8095392082901759
63,47,0.0511923928303094
120,16,0.1271390645808685
139,47,0.0509559132103861
91,40,0.0048234836126543
177,11,0.079538228749197
51,5,0.0012589912604483
36,1,2.012782334993164e-06
159,33,0.0957006271358586
17,28,0.7288412317204297
23,12,0.0684147038565024
166,0,0.0009461366680791
187,32,0.0001538640137879
144,32,5.568171941021571e-05
82,33,0.1180687537564336
0,43,0.0648083437995477
194,42,0.0011711171632029
100,5,0.0014468904458409
4,27,0.1389780922225172
106,33,0.1104808034496209
105,5,0.0014229185653403
71,32,6.008047855823112e-05
183,42,0.0015342709031899
187,6,0.0131057324897289
30,12,0.0774214903316753
133,33,0.1068382650451852
92,49,0.0128817927758693
176,42,0.0011189659645662
45,32,7.646758478009068e-05
163,9,0.0490323667466125
70,8,0.047605672623749
82,15,0.0544231188862996
3,12,0.0549480326650385
45,45,0.0025214242225243
8,6,0.0268555249964456
32,49,0.0125503316261433
199,11,0.0918783459315792
110,26,0.000316920289157
152,31,0.0483310074028937
163,45,0.0028717724700979
110,28,0.8492510394630495
69,40,0.0054105406884074
33,22,0.0569703442012649
38,22,0.0565522256988734
55,49,0.013133774885972
167,10,0.0207817599491573
108,16,0.1324356246685991
106,49,0.0125503628145166
61,49,0.0132185339955983
190,24,0.0029889987770535
166,24,0.9999999999999936
3,49,0.0132185719242768
3,37,0.0325807604197358
147,49,0.0132172279542222
111,10,0.0170370486787791
10,40,0.0055611631125329
110,24,0.0024498180770776
146,46,0.024751607110003
98,10,0.0221483271613616
75,42,0.0011711171632029
59,24,1.0
87,10,0.0214567143809506
46,24,0.0029889840233825
46,46,0.0226018971845371
194,23,0.0063313736444608
47,3,0.1634413400079428
52,10,0.0182281668223338
178,22,0.0569859625742358
53,3,0.1634866143503049
184,22,0.0565718254990515
104,23,0.006313146226404
56,35,1.1532628964104177e-06
31,23,0.0063386934166865
27,23,0.0063386934252326
49,46,0.0225847963793051
41,23,0.0063277199473631
40,23,0.0063204248741293
