item_id,p_next_correct,expected_mastery_gain,score,reason,rank
201,0.13952388481424896,0.00815885717105247,0.30571120001973673,"skills=[38], p≈0.14, Δ≈0.008",1
431,0.056752404678485,0.0029008212912118004,0.30203057490384827,"skills=[1, 42], p≈0.06, Δ≈0.003",2
24,0.061316157588870504,0.0028857863489370602,0.30202005044425595,"skills=[8, 10], p≈0.06, Δ≈0.003",3
92,0.01419904234710274,0.002225768764763008,0.3015580381353341,"skills=[3, 8, 12], p≈0.01, Δ≈0.002",4
130,0.004269169089100262,0.0021578437399958454,0.30151049061799706,"skills=[4, 39, 41], p≈0.00, Δ≈0.002",5
225,0.0024455246781241876,0.002134143420825711,0.2987831509930917,"skills=[4, 29, 30], p≈0.00, Δ≈0.002",6
231,0.0023134235296375337,0.002047305415178215,0.2983336992410205,"skills=[3, 15, 20, 22], p≈0.00, Δ≈0.002",7
54,0.0014340695862735916,0.0020374769887580827,0.29576527788187235,"skills=[14, 16, 21, 45], p≈0.00, Δ≈0.002",8
394,0.0008715699376589945,0.0020276184147375734,0.2941428784787033,"skills=[5, 23, 31, 39], p≈0.00, Δ≈0.002",9
10,0.0005899395328502435,0.002030505839507467,0.2933427012673606,"skills=[2, 11, 21, 42], p≈0.00, Δ≈0.002",10
