timestamp,user_id,item_id,domain,correct
2025-12-17T11:23:28.612113+00:00,u001,11,標準入出力操作,0
2025-12-17T11:23:42.833730+00:00,u001,12,標準入出力操作,0
2025-12-17T11:24:59.374842+00:00,u001,13,標準入出力操作,0
2025-12-17T11:25:18.771988+00:00,u001,14,標準入出力操作,0
2025-12-17T11:25:35.712575+00:00,u001,15,標準入出力操作,0
2025-12-21T09:02:07.761473+00:00,u001,11,標準入出力操作,0
2025-12-21T09:03:54.247884+00:00,u001,11,標準入出力操作,0
2025-12-21T09:04:36.083220+00:00,u001,11,標準入出力操作,0
2025-12-21T09:06:15.057802+00:00,u001,11,標準入出力操作,0
2025-12-21T09:11:11.111066+00:00,u001,11,標準入出力操作,0
2025-12-21T09:12:16.023230+00:00,u001,11,標準入出力操作,0
2025-12-21T09:12:34.664808+00:00,u001,12,標準入出力操作,1
2025-12-21T09:13:08.283118+00:00,u001,11,標準入出力操作,1
2025-12-21T09:14:00.803655+00:00,u001,1,テキスト処理,0
2025-12-21T09:24:02.224480+00:00,u001,11,標準入出力操作,0
2025-12-21T09:24:41.467850+00:00,u001,11,標準入出力操作,0
2025-12-21T09:32:09.106563+00:00,u001,11,標準入出力操作,1
2025-12-21T09:32:44.159770+00:00,u001,11,標準入出力操作,1
2025-12-21T09:34:19.768107+00:00,u001,1,テキスト処理,1
2025-12-23T02:22:37.900581+00:00,u001,21,ファイルの操作,1
2025-12-23T02:23:10.133510+00:00,u001,1,テキスト処理,1
2025-12-23T02:24:18.475160+00:00,u001,21,ファイルの操作,0
2025-12-23T02:26:40.697123+00:00,u001,21,ファイルの操作,0
2025-12-23T02:27:12.950266+00:00,u001,2,テキスト処理,0
2025-12-23T02:27:42.855534+00:00,u001,3,テキスト処理,1
2025-12-23T02:30:10.484476+00:00,u001,21,ファイルの操作,1
2025-12-23T02:30:46.493166+00:00,u001,2,テキスト処理,0
2025-12-23T02:34:01.919985+00:00,u001,21,ファイルの操作,0
2025-12-23T02:34:28.688144+00:00,u001,2,テキスト処理,0
2025-12-23T02:35:49.928276+00:00,u001,21,ファイルの操作,1
2025-12-23T02:41:58.875490+00:00,u001,21,ファイルの操作,0
2025-12-23T02:43:49.773014+00:00,u001,21,ファイルの操作,1
2025-12-23T03:23:22.544172+00:00,u001,5,テキスト処理,1
2025-12-23T03:24:23.382070+00:00,u001,21,ファイルの操作,1
2025-12-23T03:24:38.226450+00:00,u001,5,テキスト処理,0
2025-12-23T03:25:45.102794+00:00,u001,2,テキスト処理,0
2025-12-23T03:25:51.552997+00:00,u001,12,標準入出力操作,1
2026-01-13T05:00:21.998535+00:00,u001,22,所有者とパーミッション,1
