item_id,domain,a,b,c
1,基本的なファイル管理,1.1157250378935546,-0.23758792900138082,0.05121067174390735
10,基本的なファイル管理,0.9802885292662458,0.4131988825765169,0.3490141556408484
11,基本的なファイル管理,0.7699941014673651,-1.3663991613681004,0.05
12,基本的なファイル管理,0.9272380885784908,-1.0658036862305842,0.05
13,基本的なファイル管理,1.0840561642622912,-0.06648634575334669,0.11845038698670408
14,基本的なファイル管理,0.8332282200810155,-1.1313552447933533,0.050728662459125204
15,基本的なファイル管理,1.0806594167135883,-0.7033902261961186,0.05
16,基本的なファイル管理,1.016237348020007,0.060287453367480065,0.21545941278845426
17,基本的なファイル管理,1.07842790267283,-0.572405939625247,0.05
2,基本的なファイル管理,1.0055794815029222,0.5690014146343967,0.349255875386034
3,基本的なファイル管理,1.0488170859497872,-0.4341523163576731,0.05101974501300201
4,基本的なファイル管理,1.0550412882587523,-0.9243868785017227,0.05
5,基本的なファイル管理,0.8453356795430801,0.578727608910721,0.35
6,基本的なファイル管理,1.0052783589154346,0.4135637984373048,0.3497935282078873
7,基本的なファイル管理,1.1719085570907866,-0.22177921435617062,0.05010173248926555
8,基本的なファイル管理,1.0885398923083915,0.09713271885958898,0.18587886997580505
9,基本的なファイル管理,1.0262475684550512,0.29450065822613813,0.3477050227874197
18,所有者とパーミッション,0.8839437048624452,0.6366566386990895,0.3492588545632103
19,所有者とパーミッション,0.7702328900336052,-1.539669098766515,0.05
20,所有者とパーミッション,1.068889860641698,0.2871774136001816,0.286128982439378
21,所有者とパーミッション,1.024063321206639,-0.18152036079761477,0.09554882632141681
22,所有者とパーミッション,0.9971634464625915,0.4009891571853593,0.35
23,所有者とパーミッション,0.5400131331280983,-1.5875913406766704,0.05
24,所有者とパーミッション,1.0225073634083524,0.1351418249000227,0.2629624680469981
25,所有者とパーミッション,1.0486863591207574,0.19373504562657518,0.25687999463808914
26,所有者とパーミッション,1.0651847164733308,0.3008424339694921,0.29905176206249834
27,所有者とパーミッション,0.9184384465752248,-1.0807916872325223,0.050113288971441336
28,所有者とパーミッション,1.0856499911944797,0.05956079262466594,0.1616818048014095
29,所有者とパーミッション,0.8616779739147251,-1.1881634355663262,0.05
30,所有者とパーミッション,1.0446379214404127,-0.5633884646335257,0.05048545879498904
